HS_NO     NOTE
030313   太西洋鮭及多瑙河鮭
03031300 冷凍大西洋鮭及多瑙河鮭
030314   鱒（褐鱒、麥克鈎吻鱒、克氏鈎吻鱒、黃鈎吻鱒、吉利鈎吻鱒、阿帕契鈎吻鱒及金腹鈎吻鱒）
03031400 冷凍鱒
030319   其他
03031900 其他冷凍鮭鱒類
03032    －吳郭魚（口孵非鯽屬）、鯰魚（巨鯰屬、鯰屬、鬍鯰屬、真鮰屬）、鯉魚（鯉屬、鯽屬、草魚、鰱屬、鯁屬、青魚、真卡特拉䰾、野鯪屬、哈氏紋唇魚、蘇門答臘細鬚䰾、魴屬）、鰻魚（鰻鱺屬）、尼羅河鱸（尼羅尖吻鱸）及鱧魚（鱧屬），第０３０３９１至０３０３９９目之可食用魚雜碎除外：
030323   吳郭魚（口孵非鯽屬）
03032300 冷凍吳郭魚
030324   鯰魚（巨鯰屬、鯰屬、鬍鯰屬、真鮰屬）
03032400 冷凍鯰魚
030325   鯉魚（鯉屬、鯽屬、草魚、鰱屬、鯁屬、青魚、真卡特拉䰾、野鯪屬、哈氏紋唇魚、蘇門答臘細鬚䰾、魴屬）
03032500 冷凍鯉魚
030326   鰻魚（鰻鱺屬）
03032600 冷凍鰻魚
030329   其他
03032900 其他冷凍魚類
03033    －扁魚類（鰈科、鮃科、舌鰨科、鰨科、菱鮃科、棘鮃科），第０３０３９１至０３０３９９目之可食用魚雜碎除外︰
030331   大比目魚（北大西洋大比目魚、大西洋大比目魚、太平洋大比目魚）
03033100 冷凍大比目魚（北大西洋大比目魚、大西洋大比目魚、太平洋大比目魚）
030332   鰈魚（大西洋有棘鰈魚）
03033200 冷凍鰈魚（大西洋有棘鰈魚）
030333   鰨魚（牛舌魚）
03033300 冷凍鰨魚（牛舌魚）
030334   比目魚（瘤棘鮃）
03033400 冷凍比目魚
030339   其他
03033900 其他冷凍扁魚類
03034    －鮪魚（鮪屬）、正鰹，第０３０３９１至０３０３９９目之可食用魚雜碎除外：
030341   長鰭鮪
03034100 冷凍長鰭鮪
030342   黃鰭鮪
03034200 冷凍黃鰭鮪
030343   正鰹
03034300 冷凍正鰹
030344   大目鮪
03034400 冷凍大目鮪
030345   大西洋及太平洋黑鮪
03034500 冷凍大西洋及太平洋黑鮪
030346   南方黑鮪
03034600 冷凍南方黑鮪
030349   其他
03034900 其他冷凍鮪魚（鮪屬）
03035    －鯡魚（大西洋鯡、正鯡）、鯷魚（鯷屬）、沙丁魚（沙丁魚、擬沙丁魚屬）、小沙丁魚（小沙丁魚屬）、正鰮、鯖魚（正鯖、花腹鯖、白腹鯖）、印度鯖魚（金帶花鯖屬）、馬加鰆（馬加鰆屬）、竹筴魚（竹筴魚屬）、鰺（鰺屬）、海鱺、銀鯧（鯧屬）、秋刀魚、圓鰺（圓鰺屬）、毛鱗魚、劍旗魚、巴鰹、齒鰆（齒鰆屬）、旗魚（旗魚科），第０３０３９１至０３０３９９目之可食用魚雜碎除外：
030351   鯡魚（大西洋鯡、正鯡）
03035100 冷凍鯡魚
030353   沙丁魚（沙丁魚、擬沙丁魚屬）、小沙丁魚（小沙丁魚屬）、正鰮
03035300 冷凍沙丁魚、小沙丁魚、正鰮
030354   鯖魚（正鯖、花腹鯖、白腹鯖）
03035400 冷凍鯖魚
030355   竹莢魚（竹筴魚屬）
03035500 冷凍竹筴魚
030356   海鱺
03035600 冷凍海鱺
030357   劍旗魚
03035700 冷凍劍旗魚
030359   其他
03035910 冷凍秋刀魚
03035920 冷凍毛鱗魚
03035930 冷凍巴鰹
03035940 鰺及圓鰺
03035990 其他冷凍魚類
03036    －海鰗鰍科、歪尾鱈科、鱈科、鼠尾鱈科、黑鱈科、無鬚鱈科、稚鱈科及鰻鱗鱈科之魚類，第０３０３９１至０３０３９９目之可食用魚雜碎除外︰
030363   鱈魚（大西洋鱈、格陵蘭鱈、大頭鱈）
03036300 冷凍鱈魚
030364   黑線鱈
03036400 冷凍黑線鱈
030365   綠青鱈（維納斯青鱈）
03036500 冷凍綠青鱈
030366   無鬚鱈、長鰭鱈（無鬚鱈屬、長鰭鱈屬）
03036600 冷凍無鬚鱈、長鰭鱈
030367   阿拉斯加狹鱈
03036700 冷凍阿拉斯加狹鱈
030368   藍鱈、南藍鱈
03036800 冷凍藍鱈、南藍鱈
030369   其他
03036910 其他冷凍明太鱈（青鱈、挪威狹鱈）
03036990 其他冷凍海鰗鰍科、歪尾鱈科、鱈科、鼠尾鱈科、黑鱈科、無鬚鱈科、稚鱈科及鰻鱗鱈科之魚類
03038    －其他魚，第０３０３９１至０３０３９９目之可食用魚雜碎除外︰
030381   角鯊及其他鯊魚
03038100 冷凍角鯊及其他鯊魚
030382   鰩及魟（鰩科）
03038200 冷凍鰩及魟
030383   美露鱈（犬牙南極魚屬）
03038300 冷凍美露鱈
030384   鱸魚（舌齒鱸屬）
