HS_NO       NOTE
0302493000 巴鰹，生鮮或冷藏
0302494000 鰺及圓鰺，生鮮或冷藏
0302499010 白鯧，生鮮或冷藏
0302499090 其他魚類，生鮮或冷藏
0302510000 鱈魚，生鮮或冷藏
0302520000 黑線鱈，生鮮或冷藏
0302530000 綠青鱈，生鮮或冷藏
0302540000 無鬚鱈、長鰭鱈，生鮮或冷藏
0302550000 阿拉斯加狹鱈，生鮮或冷藏
0302560000 藍鱈、南藍鱈，生鮮或冷藏
0302590000 其他魚類，生鮮或冷藏
0302710000 吳郭魚，生鮮或冷藏
0302720000 鯰魚，生鮮或冷藏
0302730000 鯉魚，生鮮或冷藏
0302740000 鰻魚，生鮮或冷藏
0302790000 其他魚類，生鮮或冷藏
0302810010 鯨鯊，生鮮或冷藏
0302810020 生鮮或冷藏大白鯊
0302810030 生鮮或冷藏象鮫
0302810040 生鮮或冷藏巨口鯊
0302810090 其他鯊魚，生鮮或冷藏
0302820000 鰩及魟，生鮮或冷藏
0302830000 美露鱈，生鮮或冷藏
0302840000 鱸魚，生鮮或冷藏
0302850000 鯛魚，生鮮或冷藏
0302891000 烏魚，生鮮或冷藏
0302892000 黃魚，生鮮或冷藏
0302893000 香魚（𫙮），生鮮或冷藏
0302895100 鱔魚，生鮮或冷藏
0302895200 海鰻，生鮮或冷藏
0302896000 柳葉魚，生鮮或冷藏
0302897000 鮟鱇魚、太平洋長身鱈魚、銀鱈，生鮮或冷藏
0302898100 短擬鱸（藍色鱈魚），生鮮或冷藏
0302898200 灰海荷鰮（丁香魚），生鮮或冷藏
0302898410 烏鯧，生鮮或冷藏
0302898490 其他鰺魚，生鮮或冷藏
0302898500 其他鯖魚，生鮮或冷藏
0302898910 其他鯡類，生鮮或冷藏
0302898921 刺鯧（肉鯽），生鮮或冷藏
0302898922 白帶魚，生鮮或冷藏
0302898923 金線魚，生鮮或冷藏
0302898925 午仔魚，生鮮或冷藏
0302898930 鱘魚，生鮮或冷藏
0302898941 石斑魚，生鮮或冷藏
0302898942 虱目魚，生鮮或冷藏
0302898950 河魨（豚），生鮮或冷藏
0302898960 其他鱸魚，生鮮或冷藏
0302898970 其他鯰魚，生鮮或冷藏
0302898980 生鮮或冷藏鬼蝠魟（前口蝠鱝）屬
0302898991 其他淡水魚類，生鮮或冷藏
0302898992 其他鹹水魚類，生鮮或冷藏
0302911000 魚肝，生鮮或冷藏
0302912000 魚卵及魚白，生鮮或冷藏
0302920000 鯊魚翅，生鮮或冷藏
0302991000 魚皮，生鮮或冷藏
0302992010 鯊魚尾，生鮮或冷藏
0302992090 其他魚尾及魚骨，生鮮或冷藏
0302999010 鰻魚雜碎，生鮮或冷藏
0302999020 鯊魚尾鰭上半部，生鮮或冷藏
0302999090 其他魚頭、魚唇、魚鰾及其他魚雜碎，生鮮或冷藏
0303110000 冷凍紅鈎吻鮭
0303120000 其他冷凍太平洋鮭
0303130000 冷凍大西洋鮭及多瑙河鮭
0303140000 冷凍鱒
0303190000 其他冷凍鮭鱒類
0303230000 冷凍吳郭魚
0303240000 冷凍鯰魚
0303250000 冷凍鯉魚
0303260000 冷凍鰻魚
0303290000 其他冷凍魚類
0303310000 冷凍大比目魚（北大西洋大比目魚、大西洋大比目魚、太平洋大比目魚）
0303320000 冷凍鰈魚（大西洋有棘鰈魚）
0303330000 冷凍鰨魚（牛舌魚）
0303340000 冷凍比目魚
0303390000 其他冷凍扁魚類
0303410000 冷凍長鰭鮪
0303420000 冷凍黃鰭鮪
0303430000 冷凍正鰹
0303440000 冷凍大目鮪
0303450000 冷凍大西洋及太平洋黑鮪
0303460000 冷凍南方黑鮪
0303490000 其他冷凍鮪魚（鮪屬）
0303510000 冷凍鯡魚
0303530000 冷凍沙丁魚、小沙丁魚、正鰮
0303540010 石斑魚用餌料之冷凍鯖魚（正鯖、花腹鯖、白腹鯖）
0303540090 其他冷凍鯖魚
0303550000 冷凍竹筴魚
0303560000 冷凍海鱺
0303570000 冷凍劍旗魚
0303591000 冷凍秋刀魚
0303592000 冷凍毛鱗魚
0303593000 冷凍巴鰹
0303594000 冷凍鰺及圓鰺
0303599010 冷凍白鯧魚
0303599020 冷凍旗魚
0303599090 其他冷凍魚類
0303630000 冷凍鱈魚
0303640000 冷凍黑線鱈
0303650000 冷凍綠青鱈
0303660000 冷凍無鬚鱈、長鰭鱈
0303670000 冷凍阿拉斯加狹鱈
0303680000 冷凍藍鱈、南藍鱈
0303691000 其他冷凍明太鱈（青鱈、挪威狹鱈）
0303699000 其他冷凍海鰗鰍科、歪尾鱈科、鱈科、鼠尾鱈科、黑鱈科、無鬚鱈科、稚鱈科及鰻鱗鱈科之魚類
0303810010 冷凍鯨鯊
0303810020 冷凍大白鯊
0303810030 冷凍象鮫
0303810040 冷凍巨口鯊
0303810090 其他冷凍鯊魚
0303820000 冷凍鰩及魟
0303830000 冷凍美露鱈
0303840000 冷凍鱸魚
0303891000 冷凍烏魚
0303892000 冷凍黃魚
0303893000 冷凍香魚（𫙮）
0303895100 冷凍鱔
0303895200 冷凍海鰻
0303896000 冷凍柳葉魚
0303897000 冷凍鮟鱇魚、太平洋長身鱈魚、銀鱈
0303898100 冷凍短擬鱸（藍色鱈魚）
0303898200 冷凍灰海荷鰮（丁香魚）
0303898410 冷凍烏鯧
0303898420 石斑魚用餌料之其他冷凍鰺魚
0303898490 其他冷凍鰺魚
0303898510 石斑魚用餌料之其他冷凍鯖屬魚
0303898590 其他冷凍鯖屬魚
0303898910 其他冷凍鯡類
0303898920 冷凍河魨（豚）
0303898931 冷凍刺鯧（肉鯽）
0303898932 冷凍白帶魚
0303898933 冷凍金線魚
0303898935 冷凍午仔魚
0303898942 冷凍鱰魚
0303898943 冷凍虱目魚
0303898944 其他冷凍鱸魚
0303898950 冷凍鱘魚
0303898960 冷凍石斑魚
0303898970 其他冷凍鯰魚
0303898980 冷凍鬼蝠魟（前口蝠鱝）屬
